logic n.逻辑，推理；逻辑性
mystery n.神秘；神秘的事物
marble n.大理石
March n.三月
march vi.行军；游行示威
margin n.页边的空白；边缘
marine a.海的；海上的
mark n.斑点；记号vt.标明
market n.市场；集市；销路
marriage n.结婚，婚姻；婚礼
married a.已婚的；婚姻的
marry vt.娶，嫁vi.结婚
marvelous a.奇迹般的；了不起的
Marxisim n.马克思主义
Marxist a.马克思主义的
mask n.面具；伪装vt.掩饰
mass n.众多；团；群众
master n.主人；能手；硕士
masterpiece n.杰作，名著
mat n.席子；草席；垫子
match n.比赛，竞赛；对手
match n.(一根)火柴
mate n.伙伴，同事；配偶
material n.材料；素材a.物质的
materialism n.唯物主义
mathematical a.数学的，数学上的
mathematics n.数学
maths n.(英)数学
matter n.事情；物质vi.要紧
mature a.成熟的vt.使成熟
maximum n.最大量a.最大的
May n.五月
maybe ad.大概，或许；也许
mayor n.市长
me pron.(宾格)我
meadow n.草地，牧草地
meal n.膳食，一餐
mean vt.作…解释；意指
mean a.自私的；吝啬的
mean a.平均的n.平均值
meaning n.意义，意思；意图
means n.方法，手段，工具
meanwhile ad.同时，当时
measurable a.可测量的
measure vt.量，测量n.分量
measurement n.衡量，测量；尺寸
mild a.和缓的；温柔的
mile n.英里
military a.军事的；军人的
milk n.乳，牛奶vt.挤(奶)
mill n.磨坊；制造厂
millimetre n.毫米
million num.百万n.许多
mind n.头脑；理智；记忆
mine pron.我的
mine n.矿，矿山；地雷
miner n.矿工
mineral n.矿物a.矿物的
minimum n.最小量a.最小的
minister n.部长，大臣；公使
ministry n.(政府的)部
minor a.较小的；较次要的
minority n.少数；少数民族
minus a.负的prep.减(去)
minute n.分，分钟；一会儿
minute a.微细的；详细的
miracle n.奇迹，令人惊奇的人
mirror n.镜子vt.反映，反射
miserable a.痛苦的，悲惨的
mislead vt.使误入岐途
miss n.小姐
miss vt.未看到；惦念
missile n.发射物；导弹
missing a.缺掉的，失去的
mission n.使命，任务；使团
mist n.薄雾
mistake n.错误vi.误解，弄错
Mister n.先生
mistress n.女主人；夫人
misunderstand vt.误解，误会，曲解
mix vt.使混合，混淆
mixture n.混合；混合物
moan n.呻吟声vi.呻吟
mobile a.运动的；流动的
mode n.方式，样式
model n.模型；模式；模特儿
moderate a.温和的；有节制的
modern a.现代的，近代的
modest a.有节制的；谦虚的
modify vt.更改，修改；修饰
moist a.湿润的；多雨的
moisture n.潮湿，湿气；温度
nail n.钉；指甲vt.钉
naked a.裸体的；无遮敝的
name n.名字；名誉vt.说出
namely ad.即，也就是
nap n.小睡，打盹，瞌睡
narrow a.狭的，狭窄的
nasty a.龌龊的；淫猥的
nation n.民族；国家
national a.民族的；国家的
nationality n.国籍；民族，族
native a.本土的n.本地人
natural a.自然界的；天然的
naturally ad.自然地；天然地
nature n.大自然；本性；性质
naughty a.顽皮的，淘气的
naval n.海军的，军舰的
navigation n.航行；航海术；导航
navy n.海军
near ad.近，接近a.近的
nearby a.附近的ad.在附近
nearly ad.差不多；密切地
neat a.整洁的；熟练的
necessarily ad.必然，必定
necessary a.必要的；必然的
necessity n.必要性；必然性
neck n.颈，脖子
necklace n.项链，项圈
needle n.针，缝补，编织针
needless a.不需要的
negative a.否定的；消极的
neglect vt.忽视，忽略；疏忽
Negro n.黑人
neighbour n.邻居，邻国，邻人
neighbourhood n.邻居关系；邻近
noun n.名词
novel n.小说a.新的
November n.十一月
now ad.现在；立刻；于是
nowadays ad.现今，现在
nowhere ad.任何地方都不
nuclear a.原子核的；核心的
nucleus n.核，核心；(原子)核
nuisance n.讨厌的东西
number n.数，数字；号码
numerous a.为数众多的；许多
nurse n.保姆；护士vt.看护
neither a.(两者)都不的
nephew n.侄子，外甥
nerve n.神经；勇敢，胆量
nervous a.神经的；易激动的
nest n.巢，窝，穴
net n.网，网状物；通信网
network n.网状物；网络
neutral a.中立的；中性的
never ad.永不，决不；不
nevertheless conj.然而ad.仍然
new a.新的；新近出现的
newly ad.新近，最近
news n.新闻，消息
newspaper n.报纸，报
next a.紧接的；贴近的
nice a.美好的，令人愉快的
niece n.侄女，外甥女
night n.夜，夜间
nine num.九，九个
nineteen num.十九，十九个
ninety num.九十，九十个
ninth num.第九；九分之一
nitrogen n.氮
no ad.不；并不a.没有
noble a.贵族的；高尚的
nobody pron.谁也不；无人
nod vt.点(头)；点头表示
noise n.喧闹声；响声；噪声
noisy a.嘈杂的；喧闹的
none pron.没有人ad.毫不
nonsense n.胡说，废话
noon n.正午，中午
nor conj.也不；不
normal a.正常的，普通的
normally ad.通常，正常地
north n.北，北方a.北方的
northeast n.东北a.位于东北的
northern a.北方的，北部的
northwest n.西北a.位于西北的
nose n.鼻子；突出部分
not ad.不，没有
note n.笔记；便条；注释
notebook n.笔记本，期票簿
nothing n.没有东西ad.毫不
notice vt.注意n.通知；注意
noticeable a.显而易见的；重要的
nursery n.托儿所；苗圃
nut n.坚果，干果；螺母
nylon n.尼龙，耐纶
obey vt.顺从vi.服从
object n.物，物体；目的
object vi.反对；抱反感
objection n.反对，异议；不喜欢
objective a.客观的；无偏见的
oblige vt.迫使；施恩惠于
observation n.注意；观察；观察力
observe vt.遵守；看到；说
observer n.观察员，观测者
obstacle n.障碍，障碍物，妨害
obtain vt.获得，得到，买到
obvious a.明显的，显而易见的
obviously ad.明显地，显然地
occasion n.场合，时刻；时机
occasional a.偶然的；临时的
occasionally ad.偶然；非经常地
occupation n.占领，占据；职业
occupy vt.占领；占，占有
occur vi.发生；出现，存在
occurrence n.发生，出现；事件
ocean n.海洋；洋
Oceania n.大洋洲
o'clock ad.…点钟
October n.十月
odd a.奇数的；单只的
odour n.气味，香气；味道
of prep.…的；由于
off ad.(离)开；(停)止
offend vt.冒犯vi.犯过错
offer vt.提供；提出n.提供
office n.办公室；处，局，社
oriental a.东方的；东方国家的
origin n.起源，由来；出身
original a.最初的；新颖的
ornament n.装饰物；装饰
orphan n.孤儿
other a.另外的；其余的
otherwise ad.另外；要不然
ounce n.盎司，英两
our pron.我们的
ours pron.我们的
ourselves pron.我们自己
out ad.出，在外；现出来
outcome n.结果，后果，成果
outdoor a.户外的，室外的
outdoors ad.在户外，在野外
outer a.外部的，外面的
outlet n.出口，出路；排遣
outline n.轮廓；略图；大纲
outlook n.观点，看法；展望
output n.产量；输出量；输出
outset n.开始，开端
outside n.外部；外表a.外部的
outskirt n.外边，郊区
outstanding a.突出的，杰出的
outward a.外面的；向外的
outwards ad.向外，往海外
oven n.炉，灶；烘箱
over prep.在…上方；超过
overall n.工装裤a.全面的
officer n.官员；干事；军官
official a.官员的；官方的
often ad.经常，常常
oh int.嗬，哦，唉呀
oil n.油；石油vt.加油于
old a.老的；…岁的
omit vt.省略，省去；遗
on prep.在…上；在…旁
once ad.一次；曾经n.一次
one num.一pron.一个人
oneself pron.自己；亲自
onion n.洋葱，洋葱头
only ad.只，仅仅a.唯一的
onto prep.到…上
open a.开的；开放的vt.开
opening a.开始的n.开始
opera n.歌剧
operate vi.操作；施行手术
operation n.操作；手术；运算
operational a.操作上的；可使用的
operator n.操作人员，接线员
opinion n.意见，看法，主张
opponent n.对手，敌手；对抗者
opportunity n.机会，良机
oppose vt.反对；反抗
opposite a.对面的n.对立物
oppress vt.压迫，压制；压抑
optical a.眼的；光学的
optimistic a.乐观的；乐观主义的
optional a.可以任意选择的
or conj.或，或者；即
oral a.口头的；口的
orange n.橙(树)；柑(树)
orbit n.运行轨道vt.环绕
orchestra n.管弦乐队
order n.次序；整齐vt.命令
orderly a.整洁的；有秩序的
ordinary a.平常的；平凡的
ore n.矿，矿石，矿砂
organ n.器官；机构；管风琴
organic a.有机体的；器官的
organism n.生物体；有机体
organization n.组织；团体，机构
organize vt.组织，编组
overhead a.在头顶上的；架空的
overlook vt.眺望；看漏；放任
overnight ad.一夜；突然
overseas ad.海外a.在海外的
overtake vt.追上，赶上；压倒
overtime a.超时的，加班的
owe vt.欠；应把…归功于
owl n.猫头鹰，枭
own a.自己的vt.有，拥有
owner n.物主，所有人
ownership n.所有(权)，所有制
ox n.牛；公牛，阉牛
overcoat n.外衣，大衣
overcome vt.战胜，克服
pace n.步，步速vi.踱步
pacific a.和平的n.太平洋
pack vt.捆扎；挤满n.包
packet n.小包(裹)，小捆
pad n.垫；本子vt.填塞
page n.页
pail n.桶，提桶
pain n.痛，疼痛；辛苦
painful a.使痛的；费力的
paint vt.画；油漆vi.绘画
painter n.漆工，画家，绘画者
painting n.油画；绘画；着色
pair n.一对vi.成对，配对
palace n.宫，宫殿
pale a.苍白的；浅的
palm n.手掌，手心；掌状物
pan n.平底锅，盘子
panda n.小猫熊；猫熊
pane n.窗格玻璃
panel n.专门小组；面，板
pant n.气喘；心跳
paper n.纸；官方文件；文章
parade n.游行；检阅vi.游行
paradise n.伊甸乐园；天堂
paragraph n.(文章的)段，节
parallel a.平行的；相同的
parcel n.包裹，小包，邮包
pardon n.原谅；赦免vt.原谅
parent n.父亲，母亲，双亲
park n.公园；停车场
parliament n.议会，国会
part n.一部分；零件；本份
partial a.部分的；不公平的
partially ad.部分地
participate vi.参与，参加；分享
particle n.粒子，微粒
particular a.特殊的；特定的
particularly ad.特别，尤其，格外
partly ad.部分地，不完全地
partner n.伙伴；搭挡；配偶
party n.党，党派；聚会
pass vt.经过；通过；度过
passage n.通过；通路，通道
passenger n.乘客，旅客，过路人
passion n.激情，热情；爱好
passive a.被动的；消极的
assport n.护照
permanent a.永久的，持久的
permanently ad.永久地，持久地
permission n.允许，许可，同意
permit vt.允许n.执照
persist vi.坚持，固执；持续
person n.人；人身；本人
personal a.个人的；本人的
personnel n.全体人员，全体职员
perspective n.透视；远景；观点
persuade vt.说服vi.被说服
pessimistic a.悲观的；厌世的
pet n.爱畜；宠儿a.宠爱的
petrol n.(英)汽油
petroleum n.石油
phase n.阶段；方面；相位
phenomenon n.现象
philosopher n.哲学家
philosophy n.哲学；哲理；人生观
phone n.电话，电话机；耳机
photograph n.照片，相片
photographic a.摄影的，摄影用的
phrase n.短语；习惯用语
physician n.医生，内科医生
physicist n.物理学家
physics n.物理学
piano n.钢琴
pick n.镐，鹤嘴锄
pick vt.拾，摘vi.采摘
picnic n.郊游，野餐vi.野餐
picture n.画，图片vt.画
pie n.(西点)馅饼
piece n.碎片，块vt.拼合
pierce vt.剌穿vi.穿入
pig n.猪，小猪，野猪
pigeon n.鸽子
pile n.堆vt.堆叠，累积
pill n.药丸，丸剂
pillar n.柱，柱子；栋梁
pillow n.枕头
pilot n.领航员；飞行员
pin n.针，饰针n.别住
pinch vt.捏，拧，掐掉
pine n.松树，松木
pink n.粉红色a.粉红色的
pint n.品脱
policy n.政策，方针
polish vt.磨光；使优美
polite a.有礼貌的；有教养的
political a.政治的，政治上的
politician n.政治家；政客
politics n.政治，政治学；政纲
pollute vt.弄脏，污染，沾污
pollution n.污染
pond n.池塘
pool n.水塘，游泳池，水池
pool n.共用物vt.共有
poor a.贫穷的；贫乏的
pop n.流行音乐，流行歌曲
pop n.砰的一声，爆破声
popular a.民众的；流行的
population n.人口；全体居民
porch n.门廊，入口处
pork n.猪肉
porridge n.粥，麦片粥
port n.港，港口
portable a.轻便的；手提的
porter n.搬运工人
portion n.一部分；一分
portrait n.消像，画像
Portuguese n.葡萄牙人；葡萄牙语
position n.位置；职位；姿势
positive a.确定的；积极的
possess vt.占用，拥有(财产)
possession n.有，所有；占有物
possibility n.可能；可能的事
possible a.可能的；可能存在的
possibly ad.可能地；也许
post n.柱，桩，杆vt.贴出
post n.邮政，邮寄；邮件
post n.岗位，哨所；职位
postage n.邮费，邮资
postman n.邮递员
postpone vt.延迟，推迟，延缓
pot n.锅，壶，罐，盆
potato n.马铃薯，土豆
potential a.潜在的n.潜力
pound n.磅；英磅
pound vt.捣碎；舂烂；猛击
pour vt.灌，倒vi.倾泻
poverty n.贫穷，贫困
powder n.粉末；药粉；火药
prime a.首要的n.春，青春
primitive a.原始的；粗糙的
prince n.王子，亲王
princess n.公主，王妃
principal a.主要的n.负责人
principle n.原则，原理；主义
print vt.印刷n.印刷；正片
prior a.在先的；优先的
prison n.监狱，监禁
prisoner n.囚犯
private a.私人的；私下的
privilege n.特权，优惠
prize n.奖赏，奖金vt.珍视
probability n.可能性；概率
probable a.或有的；大概的
probably ad.或许，大概
problem n.问题；习题，问题
procedure n.程序；手续；过程
proceed vi.进行；继续进行
process n.过程；工序vt.加工
procession n.队伍，行列
proclaim vt.宣告，宣布；表明
produce vt.生产；产生；展现
product n.产品，产物；(乘)积
production n.生产；产品；总产量
productive a.生产的；丰饶的
profession n.职业
professional a.职业的n.专业人员
professor n.教授
profit n.益处；利润vi.得益
program n.节目单；大纲；程序
progress n.前进，进展；进步
progressive a.进步的；向前进的
prohibit vt.禁止，阻止
project n.方案，工程vi.伸出
prominent a.实起的；突出的
promise n.诺言；指望vt.允诺
promising a.有希望的；有前途的
promote vt.促进，发扬；提升
prompt a.及时的vt.敦促
pronoun n.代名词
pronounce vt.发…的音；宣布
pronunciation n.发音，发音法
proof n.证据；证明；校样
proper a.适合的；合乎体统的
properly ad.适当地；彻底地
past a.过去的n.过去
pastime n.消遣，娱乐
pat n.&vt.&n.轻拍
patch n.补钉；碎片vt.补缀
path n.路，小道；道路
patience n.忍耐，容忍，耐心
patient a.忍耐的n.病人
pattern n.型，式样，模，模型
pause n.&vi.中止，暂停
pave vt.铺，筑(路等)
pavement n.(英)人行道
paw n.脚爪，爪子
pay vt.支付；付给；给予
payment n.支付，支付的款项
pea n.豌豆；豌豆属植物
peace n.和平；和睦；平静
peaceful a.和平的；安静的
peach n.桃子，桃树
peak n.山顶，巅a.最高的
pear n.梨子，梨树
pearl n.珍珠；珍珠母
peasant n.农民
pebble n.卵石，细砾
peculiar a.特有的；特别的
peel vt.剥(皮)，削(皮)
peep vi.(从缝隙中)偷看
pen n.钢笔，自来水笔
pencil n.铅笔
penetrate vt.穿过vi.穿入
peninsula n.半岛
penny n.(英)便士；(美)分
ension n.抚恤金，年金
people n.人民，民族；人
pepper n.胡椒，胡椒粉
per prep.每
perceive vt.察觉，发觉；理解
percent n.百分之…
percentage n.百分比，百分率
perfect a.完美的；完全的
perfectly ad.很，完全
perform vt.履行，执行；演出
performance n.履行；演出；行为
perfume n.香味，芳香；香料
perhaps ad.也许，可能，多半
period n.时期；学时；句号
pioneer n.拓荒者；先驱者
pipe n.管子，导管；烟斗
pipeline n.管道，管线
pistol n.手枪
pit n.坑，地坑；煤矿
pitch n.沥青
pitch vt.投，掷vi.投掷
pity n.怜悯；遗憾vt.同情
place n.地方，地点；住所
plain n.平原a.清楚的
plan n.&vt.计划，打算
plane n.平面；飞机
planet n.行星
plant n.植物；工厂vt.栽种
plantation n.种植园；栽植
plaster n.灰泥；硬膏；熟石膏
plastic a.可塑的n.塑料
platform n.平台；站台；讲台
play vi.玩，游戏；演奏
player n.游戏的人；比赛者
playground n.操场，运动场
pleasant a.令人愉快的，舒适的
please vt.使高兴，请vi.满意
pleasure n.愉快，快乐；乐事
plentiful a.丰富的，富裕
plenty n.丰富，充足，大量
plot n.小块土地vt.密谋
plough n.犁vt.&vi.犁，耕
pluck vt.采，摘；拉下n.拉
plug n.塞子；插头vt.塞
plunge vt.使投入；使陷入
plural a.复数的n.复数
plus prep.加，加上a.正的
pocket n.衣袋n.袖珍的
poet n.诗人
poetry n.诗，诗歌，诗作
point n.点；要点；细目；分
poison n.毒，毒药vt.毒害
poisonous a.有毒的，有害的
pole n.杆，柱
pole n.极(点)，磁极，电极
police n.警察；警察当局
policeman n.警察
power n.能力；力；权；幂
powerful a.强有力的；有权威的
practical a.实践的；实用的
practice n.实践；练习；业务
practise vt.练习，实习，训练
praise n.赞扬，赞美vi.赞扬
pray vt.&vi.请求；祈祷
prayer n.祈祷，祈求
precaution n.预防；警惕
preceding a.在前的；在先的
precious a.珍贵的，宝贵的
precision n.精确，精密，精密度
predict v.预言，预告，预测
preface n.序言，前言，引语
prefer vt.宁可，宁愿
preferable a.更可取的，更好的
preference n.偏爱，优先；优先权
prejudice n.偏见，成见
preliminary a.预备的，初步的
premier n.总理，首相
preparation n.准备，预备；制备
prepare vt.&vi.准备，预备
preposition n.前置词，介词
prescribe vt.命令；处(方)
presence n.出席，到场；在
present a.现在的n.目前
present vt.赠送;介绍;提出
present n.礼物，赠送物
presently ad.一会儿；目前
preserve vt.保护；保存；腌渍
press vt.压，按，揿；催促
pressure n.压力；压力；压，按
pretend vt.假托，借口vi.假装
pretty a.漂亮的，标致的
prevail vi.胜，优胜；流行
prevent vt.预防，防止；阻止
previous a.先的；前的ad.在前
previously ad.先前，预先
price n.价格，价钱；代价
pride n.骄傲；自豪vt.自夸
priest n.教士，牧师，神父
primarily ad.首先；主要地
primary a.最初的；基本的
property n.财产，资产；性质
proportion n.比，比率，部分
proportional a.比例的；相称的
proposal n.提议，建议；求婚
propose vt.提议vi.求婚
prospect n.展望；前景，前程
prosperity n.繁荣；昌盛，兴旺
prosperous a.繁荣的，昌盛的
protect vt.保护，保卫，警戒
protection n.保护，警戒
protective a.保护的，防护的
protein n.蛋白质，朊
protest vt.&vi.&n.抗议
proud a.骄傲的；自豪的
prove vt.证明vi.结果是
provide vt.提供；装备，供给
provided conj.以…为条件
province n.省；领域，部门
provision n.供应；预备；存粮
psychological a.心理的，心理学的
public a.公众的n.公众
publication n.公布；出版；出版物
publish vt.公布；发表；出版
pudding n.布丁
puff n.(一)喷，(一)吹
pull vt.拉，拖；拉，拉力
pulse n.脉搏；脉冲，脉动
pump n.泵vt.用抽机抽
punch vt.冲出n.冲压机
punch vt.用拳猛击n.拳打
punctual a.严守时刻的；准时的
punish vt.罚，惩罚，处罚
punishment n.罚，惩罚，处罚
pupil n.学生，小学生
pupil n.瞳孔
puppet n.木偶，玩偶；傀儡
purchase n.买，购买vt.买
pure a.纯粹的；纯洁的
purely ad.纯粹地，完全地
purify vt.使纯净，使洁净
purity n.纯净；纯洁；纯度
purple n.紫色a.紫的
purpose n.目的；意图；效果
purse n.钱包，小钱袋，手袋
pursue vt.追赶，追踪；进行
pursuit n.追赶；追求；事务
push vt.推，逼迫vi.推
put vt.放，摆；使处于
puzzle n.难题；谜vi.使迷惑
qualify vt.使具有资格
quality n.质量；品质，特性
quantity n.量，数量，分量
quarrel n.争吵，吵架，口角
quart n.夸脱(=2品脱)
quarter n.四分之一；一刻钟
quarterly a.季度的ad.季度地
queen n.王后；女王
queer a.奇怪的，古怪的
question n.发问；问题；疑问
quicken vt.加快vi.加快
quickly ad.快，迅速
quiet a.寂静的；安静的
quilt n.被(子)
quit vt.离开，退出；停止
quite ad.完全；相当；的确
quiz n.小型考试，测验
quotation n.引用；引文；报价单
quote vt.引用，引证；报价
queue n.行列vi.排队等候
quick a.快的；敏捷的
rabbit n.兔子，野兔
race n.比赛，竞赛，竞争
race n.人种，种族，民族
racial a.种族的，人种的
rack n.搁物架；行李架
rack vt.使苦痛，折磨
racket n.球拍
radar n.雷达，无线电探测器
radiate vi.发射光线；辐射
radiation n.放射，发射；辐射能
radio n.无线电；收音机
radioactive a.放射性的
radioactivity n.放射性，放射(现象)
radish n.小萝卜
radium n.镭
radius n.半径
rag n.破布，碎布，抹布
rage n.(一阵)狂怒，盛怒
raid n.袭击；突然搜查
rail n.横条，横杆；铁轨
railroad n.铁路vi.由铁路运输
railway n.铁路，铁道
ecite vt.&vi.背诵，朗诵
recognition n.认出，识别；承认
recognize vt.认识，认出；承认
recollect vt.回忆，追忆，想起
recommend vt.推荐，介绍；劝告
recommendation n.推荐，介绍；劝告
record n.记录；履历vt.记录
recorder n.记录者；录音机
recover vt.重新获得；挽回
recovery n.重获；痊愈，恢复
red a.红色的n.红色
reduce vt.减少，减小；简化
reduction n.减少，减小，缩减
reed n.芦苇，芦杆，芦丛
reel n.卷轴，卷筒
refer vt.使求助于vi.谈到
reference n.参考；出处；提及
refine vt.&vi.精炼，提纯
reflect vt.反射；反映；思考
reflection n.反射；映象；反映
reflexion n.反射；映象；反映
reform vt.&n.改革，改良
refresh vt.使清新vi.恢复精神
refreshment n.茶点，点心，便餐
refrigerator n.冰箱，冷藏
refuge n.避难，庇护；庇护者
refusal n.拒绝
refuse vt.拒绝vt.拒绝
refute vt.驳斥，反驳，驳倒
regard vt.把…看作；尊敬
regarding prep.关于
regardless ad.不顾一切地
region n.地区，地带；领域
register n.&vt.登记，注册
regret vt.懊悔；抱歉n.懊悔
regular a.规则的；整齐的
regularly ad.有规律地
regulate vt.管理，控制；调整
regulation n.规则，规章；管理
rehearsal n.排练，排演；练习
reign n.君主统治；支配
rein n.缰绳vi.驾驭，控制
reinforce vt.增援，支援；加强
reject vt.拒绝；丢掉；驳回
rejoice vi.欣喜，高兴
relate vt.叙述；使联系
reverse vt.颠倒，翻转n.背面
review vt.再检查n.复习
revise vt.修订，校订；修改
revolt vi.&n.反抗，造反
revolution n.革命；旋转，绕转
revolutionary a.革命的n.革命者
reward n.报答；报酬vt.报答
rhythm n.韵律，格律；节奏
rib n.肋，肋骨
ribbon n.缎带，丝带；带
rice n.稻，米，饭
rich a.富的，丰富的
rid vt.使摆脱，使去掉
riddle n.谜，谜语
ride vi.&n.骑马，乘车
rider n.骑马的人；乘车的人
ridge n.脊；岭，山脉；垄
ridiculous a.荒谬的，可笑的
rifle n.步枪，来复枪
right a.正确的ad.对，正好
rigid a.刚硬的；僵硬的
ring n.环形物(如圈、环等)
ring vi.鸣；按铃n.铃声
ripe a.熟的；时机成熟的
ripen vt.使熟vi.成熟
rise vi.起立；升起；上涨
risk n.风险，危险，冒险
rival n.竞争者a.竞争的
river n.江，河，水道
road n.路，道路，公路
roar vi.吼叫；呼喊n.吼
roast vt.&vi.烤，炙，烘
rob vt.&vi.抢劫；劫掠
robber n.强盗，盗贼
robbery n.抢劫，劫掠，盗取
robe n.长袍，长衣，浴衣
robot n.机器人；自动机
rock vt.摇，使动摇vi.摇
rock n.岩，岩石；石头
rocket n.火箭，火箭发动机
rod n.杆，竿，棒
role n.角色，作用，任务
roll vi.&vt.滚动；转动
roller n.滚柱，滚筒，滚轴
Roman n.古罗马人a.罗马的
romantic a.浪漫的；传奇的
runner n.赛跑的人
rural a.农村的，田园的
rush vi.冲，奔vt.催促
Russian a.俄罗斯的n.俄国人
rust n.锈vi.生锈，氧化
rusty a.生锈的；变迟钝的
rain n.雨，雨水vi.下雨
rainbow n.虹，彩虹
rainy a.下雨的，多雨的
raise vt.举起；引起；提高
rake n.耙子vi.耙；搜索
range n.排，行；山脉；范围
rank n.排，横行；社会阶层
rapid a.快的n.急流
rapidly ad.迅速地
rare a.稀薄的；稀有的
rarely ad.很少，难得
rat n.老鼠，耗子
rate n.比率；速度；价格
rather ad.宁可，宁愿；相当
ratio n.比，比率
rational a.理性的；出于理性的
raw a.未煮过的；未加工的
ray n.光线，射线，辐射线
razor n.剃刀
reach vt.抵达；伸出vi.达到
react vi.起反应；有影响
reaction n.反应；反作用
read vt.读，看懂vi.读
reader n.读者；读物，读本
readily ad.乐意地；无困难地
reading n.读，阅读；读书
ready a.准备好的；愿意的
real a.真的；现实的
reality n.现实；真实
realize vt.实现；认识到
really ad.真正地；实在
realm n.王国，国土；领域
reap vt.&vi.收割，收获
rear n.后部，后面；背面
rear vt.抚养，培养；栽种
reason n.理由；理性vi.推理
reasonable a.合情合理的；公道的
rebel vi.造反n.造反者
rebellion n.造反；叛乱；反抗
recall vt.回想；叫回；收回
receipt n.收到；收条，收据
receive vt.收到；得到；接待
receiver n.收受者，收件人
recent a.新近的，最近的
recently ad.最近，新近
reception a.接待；招待会；接受
relation n.关系，联系；家属
relationship n.关系，联系
relative a.有关系的；相对的
relatively ad.相对地，比较地
relativity n.相关性；相对性
relax vt.使松弛vi.松弛
release vt.释放；放松；发表
relevant a.有关的，贴切的
reliability n.可靠性
reliable a.可靠的，可信赖的
reliance n.信任，信赖，信心
relief n.减轻；救济；援救
relieve vt.减轻，解除；救济
religion n.宗教；宗教信仰
religious a.宗教的；虔诚的
reluctant a.不愿的，勉强的
rely vi.依赖，依靠；信赖
remain vi.剩下，余留；保持
remains n.残余，余额；废墟
remark vt.&vi.&n.评论，谈论
remarkable a.异常的，非凡的
remedy n.&vt.治疗；补救
remember vt.记得，想起；记住
remind vt.提醒，使想起
remote a.相隔很远的；冷淡的
removal n.移动；迁移；除掉
remove vt.移动，搬开；脱掉
render vt.表示，给予；使得
renew vt.使更新vi.更新
rent n.租金，租vi.出租
repair vt.&n.修理，修补
repeat vt.重说，重做n.重复
repeatedly ad.重复地；一再
repent vi.悔悟，悔改vt.后悔
repetition n.重复，反复
replace vt.把…放回；取代
reply vi.&n.回答，答复
report vt.&vi.报告；汇报
reporter n.记者，通讯员
represent vt.描绘；代表；象征
representative a.代表性的n.代表
reproach vt.&n.责备，指责
reproduce vt.&vi.繁殖，生殖
republic n.共和国，共和政体
republican a.共和国的
reputation n.名誉，名声；好名声
roof n.屋顶，车顶；顶
room n.房间；地位；余地
root n.根，根子vi.生根
rope n.绳，索
rose n.蔷薇花，蔷薇科植物
rot vt.烂，腐坏n.腐烂
rotary a.旋转的，转动的
rotate vi.旋转vt.使旋转
rotation n.旋转，转动；循环
rotten a.腐烂的，发臭的
rough a.表面不平的；粗略的
roughly ad.粗糙地，粗略地
round a.圆的n.兜圈；一轮
